Season,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
1981,PHI,1480,4143,69,491,453,103,9.00%,10.40%,0.115,0.291,0.273,0.341,0.389,0.332,,107,3.7,34.8,-10.2,17.7
1989,MON,2185,6207,100,632,587,159,9.20%,15.40%,0.114,0.28,0.247,0.319,0.361,0.307,,95,2.3,-33.2,4.1,17.7
1969,STL,1924,6152,90,595,561,87,8.20%,14.20%,0.106,0.285,0.253,0.316,0.359,0.306,,89,1,-78.8,34.5,17.7
1936,CIN,1849,5904,82,722,674,68,6.90%,9.90%,0.114,0.295,0.274,0.329,0.388,0.332,,94,11.1,-32,23.1,17.7
1939,WAS,1656,6026,44,702,647,94,9.10%,7.60%,0.101,0.298,0.278,0.346,0.379,0.339,,90,-4.4,-87.5,48.7,17.7
2015,BAL,2249,6007,217,713,686,44,7.00%,22.20%,0.171,0.291,0.25,0.307,0.421,0.315,,97,-4.9,-23.9,-5.9,17.7
2001,SDP,2259,6278,161,789,753,129,10.80%,20.30%,0.147,0.297,0.252,0.336,0.399,0.321,,97,6.4,-16.6,-7.1,17.7
1967,HOU,2031,6177,93,626,581,88,8.70%,15.10%,0.114,0.283,0.249,0.317,0.364,0.305,,97,7.1,-11.2,-47.5,17.7
1948,STL,1936,5990,105,742,680,24,9.80%,8.70%,0.126,0.276,0.263,0.34,0.389,0.343,,94,2.2,-45.1,25.2,17.7
2007,TBD,2229,6280,187,782,750,131,8.70%,21.10%,0.165,0.318,0.268,0.336,0.433,0.335,,103,8.4,29.5,-66,17.6
1927,CIN,1688,5827,29,643,575,62,6.90%,5.70%,0.089,0.292,0.278,0.332,0.367,0.328,,90,8.4,-65.1,57,17.6
2002,NYM,2389,6150,160,690,650,87,7.90%,17.00%,0.139,0.289,0.256,0.322,0.395,0.314,,91,-6.1,-73.1,49.4,17.6
1999,SDP,2305,6136,153,710,671,174,10.30%,19.10%,0.141,0.294,0.252,0.332,0.393,0.322,,90,4.5,-77.1,61.1,17.6
1996,OAK,1834,6402,243,861,823,58,10.00%,17.40%,0.187,0.29,0.265,0.344,0.452,0.347,,103,-5.7,20.4,-73,17.6
1965,PHI,2130,6172,144,654,608,46,8.00%,17.70%,0.134,0.285,0.25,0.313,0.384,0.31,,96,-2.6,-33.1,-5.3,17.6
1986,CIN,2195,6246,144,732,670,177,9.40%,14.70%,0.133,0.279,0.254,0.325,0.387,0.317,,92,13.7,-44.1,11.5,17.6
1957,PIT,2022,5942,92,586,551,46,6.30%,12.30%,0.116,0.293,0.268,0.315,0.384,0.31,,88,-0.6,-85.2,80.7,17.6
1952,CHC,1815,5836,107,628,595,50,7.20%,12.20%,0.119,0.288,0.264,0.321,0.383,0.327,,90,-0.2,-66.3,41.2,17.6
1996,COL,2319,6333,221,961,909,201,8.30%,17.50%,0.185,0.321,0.287,0.355,0.472,0.358,,93,8.9,-45.4,35.7,17.6
1923,CHW,1685,6044,42,690,604,191,8.80%,7.50%,0.095,0.3,0.279,0.35,0.374,0.343,,92,2.2,-58.1,39.4,17.6
1966,NYY,1986,5936,162,611,569,49,8.20%,13.80%,0.139,0.249,0.235,0.299,0.374,0.299,,94,1.5,-35.3,36.3,17.6
2003,TBD,2223,6212,137,715,678,142,6.80%,16.60%,0.139,0.301,0.265,0.32,0.404,0.314,,90,13.2,-65.7,30,17.6
2008,LAA,2229,6155,159,765,721,129,7.80%,16.00%,0.145,0.299,0.268,0.33,0.413,0.324,,96,-1,-30.9,-6.5,17.6
1902,SLB,1307,5251,29,619,520,137,7.10%,,0.088,,0.265,0.323,0.353,0.326,,92,-5.4,-60.6,40.5,17.6
2013,WSN,2241,6047,161,656,621,88,7.70%,19.70%,0.146,0.292,0.251,0.313,0.398,0.311,,94,3.1,-34.7,16.3,17.6
1943,DET,1737,5983,77,632,572,40,8.10%,9.20%,0.098,0.28,0.261,0.324,0.359,0.329,,94,-10.1,-51.3,20.6,17.6
1995,ATL,1932,5464,168,645,618,73,9.50%,17.10%,0.16,0.276,0.25,0.326,0.409,0.324,,92,-5.4,-63.3,56.8,17.6
1998,NYM,2278,6257,136,706,671,62,9.10%,16.80%,0.135,0.295,0.259,0.33,0.394,0.318,,93,-7.7,-65,47.1,17.5
1934,WAS,1765,6166,51,729,680,47,9.20%,7.20%,0.105,0.295,0.278,0.348,0.382,0.341,,92,-12,-85.2,45.1,17.5
1965,STL,2084,6204,109,707,645,100,7.70%,14.20%,0.117,0.282,0.254,0.314,0.371,0.306,,85,0.8,-103.2,70.9,17.5
1991,CHC,2291,6130,159,695,654,123,7.20%,14.30%,0.138,0.272,0.253,0.309,0.39,0.313,,90,-0.9,-68.1,38.5,17.5
2016,TEX,2324,6089,215,765,746,99,7.20%,20.00%,0.172,0.298,0.262,0.322,0.433,0.324,,95,2,-37,-0.2,17.5
1910,WAS,1554,5691,9,498,393,192,7.90%,,0.053,,0.236,0.309,0.289,0.299,,93,-2.2,-40.6,32.8,17.5
2009,ARI,2301,6269,173,720,686,102,9.10%,20.70%,0.165,0.299,0.253,0.324,0.418,0.324,,89,13.1,-75.3,53.6,17.5
1990,MON,2254,6189,114,662,607,235,9.30%,16.50%,0.12,0.286,0.25,0.322,0.37,0.311,,90,5.6,-65.7,16.9,17.5
2005,NYY,2319,6406,229,886,847,84,9.90%,15.40%,0.174,0.297,0.276,0.355,0.45,0.35,,116,-3.4,118.5,-160.9,17.4
1952,PHA,1760,5975,89,664,632,52,11.40%,9.30%,0.106,0.269,0.253,0.343,0.359,0.332,,94,-0.2,-44.9,20.6,17.4
1924,CHW,1705,6117,41,794,710,137,9.90%,6.80%,0.095,0.308,0.289,0.366,0.383,0.355,,98,5.4,-14.2,-24,17.4
2015,SEA,2407,6131,198,656,624,69,7.80%,21.80%,0.162,0.292,0.249,0.311,0.411,0.313,,100,-23.1,-20.7,-15.8,17.4
1959,LAD,2017,6033,148,705,667,84,9.80%,14.80%,0.139,0.284,0.257,0.334,0.396,0.325,,90,-1.6,-75.8,35.8,17.4
2019,SEA,2347,6199,239,758,730,115,9.50%,25.50%,0.187,0.287,0.237,0.316,0.424,0.314,,99,13.4,4.2,-49.1,17.4
1962,LAA,2152,6255,137,718,667,46,9.60%,14.70%,0.13,0.276,0.25,0.325,0.38,0.317,,95,-1,-43.8,33.2,17.4
1962,BAL,2093,6158,156,652,617,45,8.40%,15.10%,0.139,0.271,0.248,0.314,0.387,0.313,,91,-3.3,-71.7,64.6,17.4
1981,HOU,1400,4156,45,394,369,81,8.20%,11.70%,0.099,0.283,0.257,0.318,0.356,0.306,,97,0.4,-13.3,39,17.4
1997,TEX,1921,6266,187,807,773,72,8.00%,17.80%,0.164,0.309,0.274,0.334,0.438,0.337,,95,-1.1,-42.2,-1.2,17.4
2014,BOS,2283,6226,123,634,601,63,8.60%,21.50%,0.124,0.297,0.244,0.316,0.369,0.305,,89,-8.1,-82.9,44.8,17.3
2004,SEA,2280,6362,136,698,658,110,7.70%,16.60%,0.127,0.308,0.27,0.331,0.396,0.317,,93,-6.4,-65.3,26.1,17.3
1935,WAS,1745,6302,32,823,762,54,9.50%,6.50%,0.097,0.303,0.285,0.358,0.381,0.345,,96,-7.8,-46.9,12.8,17.3
1914,BAL,1694,5834,32,645,551,152,8.30%,9.60%,0.088,0.297,0.268,0.337,0.357,0.338,,95,12.2,-20.3,-12,17.3
2001,NYY,1867,6233,203,804,774,161,8.30%,16.60%,0.168,0.293,0.267,0.334,0.435,0.332,,103,9.3,35.7,-73.8,17.3
1944,DET,1668,6011,60,658,591,61,8.90%,8.30%,0.091,0.281,0.263,0.332,0.354,0.328,,91,-12.4,-71.4,39.5,17.3
1902,BRO,1312,5344,19,564,476,145,6.00%,,0.062,,0.256,0.311,0.319,0.306,,93,-4.8,-46.6,31.3,17.3
2008,TOR,2244,6191,126,714,681,80,8.40%,15.20%,0.135,0.295,0.264,0.331,0.399,0.322,,94,-10.9,-60.7,19.1,17.3
1984,PIT,2046,6119,98,615,586,96,7.20%,13.70%,0.108,0.283,0.255,0.31,0.363,0.302,,86,-5.6,-100.9,66.3,17.3
1944,CHC,1830,6108,71,701,639,53,8.50%,8.50%,0.099,0.278,0.261,0.328,0.36,0.327,,96,7.2,-23.9,-1,17.3
1957,BRO,1852,5944,147,690,648,60,9.30%,14.30%,0.134,0.275,0.253,0.325,0.387,0.318,,88,2.8,-81.5,73.1,17.3
1930,PIT,1646,6058,86,891,844,76,8.20%,7.40%,0.146,0.319,0.303,0.365,0.449,0.365,,95,14.7,-35.4,16,17.2
1907,CIN,1519,5568,15,524,443,158,6.70%,,0.071,,0.247,0.304,0.318,0.307,,92,-2.4,-50.7,25.1,17.2
1938,DET,1678,6060,137,862,804,76,11.40%,9.60%,0.139,0.285,0.272,0.359,0.411,0.358,,90,-5.3,-97.8,43.2,17.2
1999,STL,2275,6354,194,809,763,134,9.60%,18.90%,0.163,0.3,0.262,0.338,0.426,0.334,,92,5.2,-64.6,38.5,17.2
1967,CHW,2299,6000,89,531,491,124,8.00%,14.20%,0.096,0.25,0.225,0.291,0.32,0.278,,83,-1.4,-107,109.8,17.2
2004,MIN,2318,6286,191,780,735,116,8.20%,15.60%,0.166,0.29,0.266,0.332,0.431,0.33,,97,5.5,-22.3,-15.6,17.2
2018,CIN,2402,6240,172,696,665,77,9.00%,22.10%,0.148,0.307,0.254,0.328,0.401,0.317,,94,-1.9,-44.8,18.9,17.2
2011,NYM,2383,6335,108,718,676,130,9.00%,17.10%,0.127,0.307,0.264,0.335,0.391,0.319,,102,11.1,25,-55.1,17.2
1997,CHW,2014,6201,158,779,740,106,9.20%,14.50%,0.144,0.298,0.273,0.341,0.417,0.334,,100,-0.8,1.2,-43.1,17.2
2021,CHC,2475,5972,210,705,672,86,8.40%,26.70%,0.171,0.296,0.237,0.312,0.407,0.311,,94,-8.6,-58,28.6,17.2
2007,OAK,2220,6365,171,741,711,52,10.40%,17.60%,0.151,0.29,0.256,0.338,0.407,0.328,,99,-7,-12.1,-32.1,17.2
1947,PIT,1865,6007,156,744,699,30,10.10%,11.40%,0.145,0.275,0.261,0.339,0.406,0.349,,94,4.9,-42.6,8.4,17.2
1970,CHC,1954,6229,179,806,761,39,9.70%,13.50%,0.155,0.276,0.259,0.333,0.415,0.333,,90,3.4,-77.4,30.1,17.2
1984,CLE,1833,6375,123,761,704,126,9.40%,12.80%,0.119,0.288,0.265,0.335,0.384,0.325,,99,-5.6,-12.9,-25.8,17.1
1937,STL,1740,5966,94,789,731,78,6.50%,9.50%,0.124,0.301,0.282,0.331,0.406,0.338,,95,12.4,-23.6,4.7,17.1
2002,CHC,2294,6242,200,706,676,63,9.40%,20.30%,0.167,0.283,0.246,0.321,0.413,0.32,,93,-7,-59.2,27.5,17.1
2006,BAL,2295,6240,164,768,727,121,7.60%,14.10%,0.146,0.302,0.277,0.339,0.424,0.331,,96,-4.5,-36.4,-2.7,17.1
1986,BAL,1806,6203,169,708,669,64,9.10%,13.90%,0.137,0.276,0.258,0.327,0.395,0.323,,99,-1.3,-11,-28.8,17.1
2019,LAA,2425,6251,220,769,734,65,9.40%,20.40%,0.175,0.281,0.247,0.324,0.422,0.316,,96,-6.1,-41.1,-8.4,17.1
2015,DET,2340,6159,151,689,660,83,7.40%,20.40%,0.15,0.322,0.27,0.328,0.42,0.324,,103,-27.6,-8.6,-31.6,17.1
2015,LAA,2459,5990,176,661,621,52,7.30%,19.20%,0.15,0.28,0.246,0.307,0.396,0.305,,95,0.5,-37,2.3,17.1
1978,CAL,1706,6206,108,691,646,86,8.70%,11.00%,0.111,0.276,0.259,0.33,0.37,0.319,,102,-8.5,4.3,-45.7,17.1
1935,BRO,1779,5937,59,711,666,60,7.20%,8.80%,0.099,0.297,0.277,0.333,0.376,0.329,,90,10.1,-62.8,34.2,17.1
1993,BOS,1832,6196,114,686,644,73,8.20%,14.10%,0.131,0.293,0.264,0.33,0.395,0.322,,90,0.1,-76.6,50.8,17.1
2000,KCR,1875,6394,150,879,831,121,8.00%,13.10%,0.138,0.312,0.288,0.348,0.425,0.338,,89,8.9,-82.8,33.1,17.1
1969,CHC,2055,6243,142,720,671,30,9.00%,14.90%,0.13,0.279,0.253,0.323,0.384,0.32,,90,-3.9,-78.4,24.7,17.1
1978,HOU,2110,6035,70,605,557,178,7.20%,12.30%,0.097,0.285,0.258,0.313,0.355,0.301,,93,13.7,-33,-6.9,17.1
1977,SDP,2314,6356,120,692,652,133,9.50%,16.60%,0.125,0.287,0.249,0.324,0.375,0.312,,93,8.1,-45.4,5.9,17
2014,COL,2387,6164,186,755,721,85,6.40%,20.80%,0.169,0.326,0.276,0.327,0.445,0.337,,97,-12.3,-33.1,2.2,17
1985,SEA,1734,6185,171,719,686,94,9.10%,15.20%,0.157,0.278,0.255,0.326,0.412,0.328,,100,3,4.3,-43.4,17
2006,LAA,2264,6221,159,766,737,148,7.80%,14.70%,0.15,0.301,0.274,0.334,0.425,0.327,,95,11.3,-27.4,-12.1,17
2013,TOR,2314,6152,185,712,669,112,8.30%,18.30%,0.158,0.284,0.252,0.318,0.411,0.32,,99,3.8,-2.8,-39.1,17
2017,OAK,2350,6126,234,739,708,57,9.20%,24.30%,0.19,0.294,0.246,0.319,0.436,0.323,,103,-5.5,19.9,-53.7,17
1933,DET,1729,6090,57,722,676,68,7.80%,8.70%,0.111,0.289,0.269,0.329,0.38,0.331,,87,-8,-113.3,63.9,17
1911,NYH,1594,5792,25,684,577,269,8.50%,,0.09,,0.272,0.344,0.362,0.343,,93,10.6,-39.4,2,17
2016,TBR,2281,6046,216,672,647,60,7.40%,24.50%,0.182,0.293,0.243,0.307,0.426,0.315,,98,-0.4,-13,-27.6,17
1936,STL,1854,6065,88,795,733,69,7.30%,9.50%,0.129,0.301,0.281,0.336,0.41,0.343,,95,11.3,-28.3,7.4,17
1998,SDP,2282,6245,167,749,715,79,9.70%,17.20%,0.155,0.285,0.253,0.33,0.409,0.325,,99,-0.4,-7.6,-14.5,17
1975,TEX,1754,6343,134,714,675,102,9.70%,13.60%,0.115,0.279,0.256,0.33,0.371,0.322,,99,-3.3,-12.7,-31.8,16.9
1988,KCR,1744,6086,121,704,671,137,8.00%,15.50%,0.131,0.291,0.259,0.321,0.391,0.319,,99,2.3,-7.5,-34,16.9
1986,SDP,2356,6118,136,656,629,96,7.90%,15.00%,0.126,0.29,0.261,0.321,0.388,0.314,,96,-8.6,-36.8,1.3,16.9
1983,BOS,1700,6251,142,724,690,30,8.60%,12.10%,0.139,0.289,0.27,0.335,0.409,0.332,,99,-5.2,-10.2,-33.2,16.9
1953,CHW,1920,5986,74,716,669,73,10.00%,8.80%,0.106,0.276,0.258,0.341,0.364,0.328,,92,-3,-63.1,30,16.9
1905,BOS,1478,5711,29,578,488,131,8.50%,,0.077,,0.234,0.305,0.311,0.303,,94,-10.5,-45,19.6,16.9
1972,DET,1989,5721,122,558,531,17,8.40%,13.90%,0.119,0.257,0.237,0.305,0.356,0.301,,93,-3,-45.8,37.2,16.8
1981,LAD,1461,4189,82,450,427,73,7.90%,13.10%,0.112,0.287,0.262,0.323,0.374,0.318,,101,-2.3,1.2,16.5,16.8
2007,LAD,2417,6282,129,735,706,137,8.10%,13.80%,0.131,0.303,0.275,0.337,0.406,0.326,,94,18.3,-33.3,-1.5,16.8
1953,DET,1971,6151,108,695,661,30,8.20%,9.80%,0.121,0.283,0.266,0.331,0.387,0.329,,91,-3.3,-72.1,32.4,16.8
1996,BOS,1787,6545,209,928,882,91,9.80%,15.60%,0.173,0.311,0.283,0.359,0.457,0.356,,104,-3.3,31.5,-97,16.8
2008,DET,2267,6331,200,821,780,63,9.00%,17.00%,0.173,0.301,0.271,0.34,0.444,0.343,,106,-6.7,42.3,-93.8,16.8
1909,PHI,1579,5693,12,514,417,185,6.50%,,0.065,,0.244,0.303,0.309,0.303,,89,-0.2,-68.9,32.8,16.8
2009,SEA,2150,6113,160,640,613,89,6.90%,17.90%,0.144,0.293,0.258,0.314,0.402,0.313,,89,-4.5,-87,40,16.8
1960,CIN,2021,5940,140,640,604,73,8.60%,14.40%,0.138,0.273,0.25,0.318,0.388,0.316,,91,1.9,-62.5,30.4,16.8
1915,NWK,1576,5771,17,585,487,184,7.60%,9.00%,0.083,0.278,0.252,0.315,0.334,0.317,,94,33.3,-4.1,-1.5,16.8
2003,CHC,2285,6187,172,724,691,73,8.00%,18.70%,0.157,0.297,0.259,0.323,0.416,0.321,,91,-9.4,-83.7,50.9,16.8
1921,SLB,1714,6103,67,835,726,91,6.80%,6.60%,0.121,0.318,0.303,0.357,0.424,0.36,,94,5.3,-44.5,7.5,16.7
1996,MON,2315,6171,148,741,696,108,8.00%,17.50%,0.144,0.3,0.262,0.327,0.406,0.321,,92,4.9,-59.2,44.8,16.7
2008,LAD,2376,6194,137,700,659,126,8.80%,16.70%,0.134,0.301,0.264,0.333,0.399,0.321,,93,5.1,-51.1,20.4,16.7
2018,MIN,2351,6154,166,738,704,47,8.70%,21.60%,0.155,0.298,0.25,0.318,0.405,0.313,,96,0.6,-30.5,-16,16.7
1915,CHC,1703,5730,53,570,485,166,6.90%,11.20%,0.098,0.27,0.244,0.303,0.342,0.314,,95,-14.6,-44.7,-3.2,16.7
1983,SDP,2122,6163,93,653,592,179,7.80%,13.30%,0.1,0.277,0.25,0.311,0.351,0.295,,85,8.4,-101.1,63.8,16.7
1978,SDP,2160,6081,75,591,542,152,8.80%,13.90%,0.096,0.285,0.252,0.321,0.348,0.303,,93,4.3,-41.3,-3.4,16.7
1974,CAL,1828,6085,95,618,550,120,8.40%,13.20%,0.102,0.28,0.254,0.321,0.356,0.312,,102,-4.9,8.1,-48.4,16.7
2016,ARI,2399,6260,190,752,709,137,7.40%,22.80%,0.171,0.315,0.261,0.32,0.432,0.321,,93,17.7,-39.9,5.8,16.7
1918,SLB,1332,4627,5,426,360,138,8.60%,7.30%,0.061,0.282,0.259,0.331,0.32,0.323,,96,2.1,-16.8,15.8,16.7
1910,STL,1620,5798,15,637,527,179,11.30%,10.00%,0.072,0.278,0.248,0.345,0.319,0.333,,97,-10,-27.8,-22,16.6
1967,MIN,2138,6116,131,671,619,55,8.40%,16.00%,0.129,0.269,0.24,0.309,0.369,0.306,,96,0.8,-25,5.3,16.6
1913,CIN,1739,5781,27,607,541,226,7.90%,10.00%,0.086,0.29,0.261,0.325,0.347,0.325,,92,4,-53,9.4,16.6
2011,WSN,2341,6090,154,624,594,106,7.70%,21.70%,0.14,0.292,0.242,0.309,0.383,0.305,,89,3.7,-73.4,45.6,16.6
2005,WSN,2352,6142,117,639,615,45,8.00%,17.70%,0.134,0.293,0.252,0.322,0.386,0.309,,88,-16.4,-112.9,78.8,16.6
1925,CLE,1760,6169,52,783,697,90,8.40%,6.10%,0.102,0.312,0.297,0.361,0.399,0.354,,93,-2.1,-65.4,25.6,16.6
2014,MIA,2311,6185,122,645,614,58,8.10%,22.90%,0.125,0.316,0.253,0.317,0.378,0.307,,95,-5.6,-42.3,7,16.6
1956,CLE,1931,5988,153,712,677,40,11.40%,12.80%,0.137,0.258,0.244,0.335,0.381,0.324,,90,-1.3,-78.2,40,16.6
2002,CIN,2353,6254,169,709,678,116,9.30%,19.00%,0.155,0.293,0.253,0.33,0.408,0.322,,91,1.2,-73.9,36.4,16.6
2009,SFG,2304,6057,122,657,612,78,6.50%,19.10%,0.132,0.302,0.257,0.309,0.389,0.305,,83,10,-118.1,94,16.6
2010,WSN,2410,6100,149,655,634,110,8.20%,20.00%,0.14,0.294,0.25,0.318,0.39,0.313,,90,-11.3,-84.4,59.9,16.6
1967,PHI,2063,6096,103,612,553,79,8.90%,16.90%,0.116,0.28,0.242,0.313,0.357,0.3,,92,-3.3,-56.5,-3.1,16.6
1941,CHC,1791,5901,99,666,610,39,9.50%,11.30%,0.112,0.274,0.253,0.327,0.365,0.327,,96,5.2,-21.1,7.2,16.6
1998,DET,1897,6243,165,722,691,122,7.30%,17.10%,0.152,0.297,0.264,0.323,0.415,0.324,,90,-2.6,-86.8,38.9,16.6
1920,BOS,1644,5980,22,650,570,98,8.80%,7.20%,0.082,0.29,0.269,0.342,0.351,0.332,,89,-5.8,-88.3,48.9,16.6
2016,LAA,2419,6041,156,717,686,73,7.80%,16.40%,0.145,0.289,0.26,0.322,0.405,0.314,,99,-16.8,-27.4,-17.3,16.5
2006,OAK,2197,6281,175,771,735,61,10.30%,15.50%,0.152,0.285,0.26,0.34,0.412,0.328,,97,-16.5,-38.5,-8.1,16.5
1981,CHW,1251,4064,76,476,438,86,7.90%,12.70%,0.115,0.296,0.272,0.335,0.387,0.331,,110,1,44.4,-16.9,16.5
1928,SLB,1693,6002,63,774,707,80,9.00%,7.90%,0.118,0.292,0.274,0.346,0.393,0.344,,90,-5.4,-84,35.8,16.5
1929,STL,1678,6030,100,831,779,72,8.10%,7.50%,0.145,0.305,0.293,0.354,0.438,0.36,,93,12.1,-51.5,23.9,16.5
1998,MIL,2277,6232,152,707,673,81,8.50%,16.70%,0.136,0.294,0.26,0.33,0.396,0.321,,91,-9.5,-83,55.2,16.5
1948,PHA,1693,6048,68,729,684,40,12.00%,8.60%,0.102,0.278,0.26,0.353,0.362,0.341,,92,-8.2,-69.4,31,16.5
1991,MON,2200,6035,95,579,536,221,8.00%,17.50%,0.112,0.287,0.246,0.308,0.357,0.3,,88,4.5,-79.5,43.9,16.5
2013,NYM,2378,6207,130,619,593,114,8.20%,22.30%,0.129,0.291,0.237,0.306,0.366,0.297,,90,23,-49.2,16.1,16.5
1941,CLE,1746,5913,103,677,618,63,8.60%,10.20%,0.137,0.272,0.256,0.323,0.393,0.334,,90,-9.2,-87.8,36.7,16.5
1964,BOS,2015,6106,186,688,648,18,8.30%,15.00%,0.158,0.279,0.258,0.322,0.416,0.327,,98,-0.7,-11.4,-4.4,16.5
1924,CHC,1668,5796,66,698,634,137,8.10%,9.00%,0.102,0.298,0.276,0.34,0.378,0.338,,93,-22.3,-70.8,47.3,16.5
1906,PHI,1514,5524,12,530,444,180,7.80%,,0.067,,0.241,0.307,0.307,0.304,,94,-0.8,-38.5,7.1,16.5
2015,CIN,2337,6196,167,640,613,134,8.00%,20.30%,0.146,0.29,0.248,0.312,0.394,0.307,,91,10.9,-52.1,16.1,16.5
1925,SLB,1736,6106,110,898,798,85,8.10%,6.10%,0.142,0.305,0.298,0.36,0.44,0.367,,95,-4.4,-49.1,10.4,16.5
2003,COL,2352,6283,198,853,814,63,9.90%,18.00%,0.179,0.302,0.267,0.344,0.445,0.342,,90,1,-78.3,39.6,16.5
1940,BRO,1895,6089,93,697,653,56,8.60%,9.40%,0.123,0.276,0.26,0.327,0.383,0.327,,93,8.2,-44.8,21.9,16.5
2021,CIN,2472,6162,222,786,756,36,9.00%,23.10%,0.182,0.296,0.249,0.328,0.431,0.327,,97,-15.1,-40.3,-2.5,16.5
1962,CLE,2027,6137,180,682,644,35,8.20%,15.30%,0.143,0.263,0.245,0.312,0.388,0.313,,89,1.2,-84.5,69.3,16.5
1925,BSN,1699,5945,41,708,643,77,6.80%,6.40%,0.097,0.309,0.292,0.345,0.39,0.341,,92,-3.6,-68.1,33.2,16.5
2000,BOS,2051,6371,167,792,755,43,9.60%,16.00%,0.156,0.297,0.267,0.341,0.423,0.334,,92,-4.4,-76.1,21.3,16.4
2018,NYM,2333,6177,170,676,649,71,9.20%,22.70%,0.154,0.283,0.234,0.312,0.389,0.305,,94,2.6,-43.1,11.9,16.4
2016,CHW,2217,6131,168,686,656,77,7.40%,21.00%,0.153,0.304,0.257,0.317,0.41,0.314,,97,-2.5,-27.2,-21.6,16.4
1979,MIN,1891,6297,112,764,714,66,8.40%,11.00%,0.123,0.299,0.278,0.341,0.402,0.332,,98,-2.9,-19.3,-27.9,16.4
2021,NYY,2354,6060,222,711,666,63,10.20%,24.50%,0.169,0.285,0.237,0.322,0.407,0.317,,101,-15.1,-4.5,-37.5,16.4
1980,TEX,1953,6320,124,756,720,91,7.60%,9.30%,0.121,0.296,0.284,0.339,0.405,0.333,,107,-2.1,48.8,-106.2,16.4
1903,PHA,1314,5074,32,597,502,157,5.30%,,0.098,,0.264,0.309,0.363,0.318,,97,0.4,-17.9,8.3,16.4
1909,CHW,1591,5759,4,494,393,211,7.70%,,0.054,,0.221,0.291,0.275,0.284,,86,5,-74.3,58,16.4
1927,CHW,1699,5911,36,662,610,89,8.30%,6.90%,0.1,0.296,0.278,0.344,0.378,0.339,,90,-18.6,-94.9,50.3,16.4
1935,CHW,1636,6025,74,738,690,46,9.60%,6.70%,0.107,0.287,0.275,0.348,0.382,0.341,,88,-5.2,-109.8,73,16.4
1937,CLE,1709,6040,103,817,754,78,9.40%,9.10%,0.143,0.297,0.28,0.352,0.423,0.356,,95,-10.4,-57.2,7.4,16.4
1930,CLE,1759,6120,72,890,830,51,7.90%,7.50%,0.127,0.322,0.304,0.363,0.431,0.359,,96,-13.4,-48.6,3.1,16.4
2015,SDP,2396,6019,148,650,623,82,7.10%,22.00%,0.142,0.292,0.243,0.3,0.385,0.298,,90,5,-63.2,31.5,16.4
2014,SEA,2333,5977,136,634,600,96,6.60%,20.60%,0.132,0.29,0.244,0.3,0.376,0.299,,94,3.2,-37.5,-1.5,16.4
1912,CLE,1624,5797,12,680,561,194,7.00%,,0.08,,0.273,0.333,0.353,0.332,,93,-2.8,-51.4,18.8,16.3
1918,WAS,1341,5017,4,461,404,137,7.50%,7.20%,0.059,0.278,0.256,0.318,0.315,0.313,,93,0.4,-34,19.9,16.3
1988,TEX,1780,6157,112,637,589,130,8.80%,16.60%,0.117,0.288,0.252,0.32,0.368,0.31,,92,-0.5,-54.4,8.6,16.3
1990,CAL,1689,6267,147,690,646,69,9.00%,16.00%,0.131,0.291,0.26,0.329,0.391,0.324,,104,-5.7,19.4,-63.1,16.3
1980,CLE,1770,6259,89,738,692,118,9.90%,10.00%,0.104,0.296,0.277,0.35,0.381,0.331,,102,-0.3,12.4,-66.6,16.3
1969,HOU,2009,6196,104,676,618,101,11.30%,15.70%,0.112,0.274,0.24,0.33,0.352,0.313,,96,0.6,-28,-36.4,16.3
1971,MON,2116,6098,88,622,567,51,8.90%,13.10%,0.097,0.273,0.246,0.322,0.343,0.305,,88,-4.4,-84,36.5,16.3
1981,CAL,1134,4191,97,476,439,44,9.40%,13.60%,0.124,0.278,0.256,0.33,0.38,0.326,,109,-2.9,36.6,-15.1,16.3
2021,CLE,2300,5907,203,717,686,109,7.70%,23.50%,0.169,0.282,0.238,0.303,0.407,0.306,,93,7.4,-42.1,3.8,16.3
2004,TBD,2182,6098,145,714,685,132,7.70%,15.50%,0.147,0.286,0.258,0.32,0.405,0.315,,87,16.1,-82.6,41.6,16.3
1952,BOS,1848,5885,113,668,628,59,9.20%,12.50%,0.122,0.279,0.255,0.328,0.377,0.33,,89,-0.9,-79.1,48.7,16.3
1933,BSN,1671,5728,54,552,511,25,5.70%,7.50%,0.094,0.266,0.252,0.299,0.345,0.301,,88,4,-75.4,65.2,16.3
2007,TOR,2308,6197,165,753,719,57,8.60%,16.80%,0.16,0.29,0.259,0.327,0.419,0.326,,95,-11.3,-47.2,-0.8,16.2
1946,WAS,1767,5959,60,608,554,51,8.60%,10.70%,0.106,0.286,0.26,0.328,0.366,0.33,,96,-11.6,-38,-15.1,16.2
2017,LAA,2392,6073,186,710,678,136,8.60%,19.70%,0.155,0.277,0.243,0.315,0.397,0.307,,92,1.4,-61.3,21.5,16.2
1918,NYY,1360,4783,20,493,406,88,7.70%,7.70%,0.073,0.278,0.257,0.32,0.33,0.321,,94,-7.4,-35.2,27.7,16.2
